lab_report_id,site_id,well_id,sample_id,sample_date,matrix,analyte,result,unit,lor
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFBA,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFPeA,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFHxA,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFHpA,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFOA,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFNA,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFDA,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFBS,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFPeS,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFHpS,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,4:2 FTS,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,6:2 FTS,<0.001,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFOS,0.006,ug/L,0.001
SYN-260505,FDS-01,MB2,MB2-20260505,2026-05-05,groundwater,PFHxS,0.009,ug/L,0.001
