lab_report_id,site_id,well_id,sample_id,sample_date,matrix,analyte,result,unit,lor
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFBA,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFPeA,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFHxA,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFHpA,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFOA,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFNA,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFDA,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFBS,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFPeS,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFHpS,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,4:2 FTS,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,6:2 FTS,<0.001,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFOS,0.038,ug/L,0.001
SYN-250916,FDS-01,MB2,MB2-20250916,2025-09-16,groundwater,PFHxS,0.019,ug/L,0.001
